"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Jordan Poole","0.00","PG","GS","SAS","0","3,700","0.00","-18.50"
"Kevon Looney","0.00","C","GS","SAS","0","3,900","0.00","-19.50"
"Marquese Chriss","0.00","PF","GS","SAS","0","4,200","0.00","-21.00"
"Nico Mannion","0.00","PG","GS","SAS","0","3,500","0.00","-17.50"
"John Wall","0.00","PG","HOU","CHA","0","7,400","0.00","-37.00"
"Eric Gordon","0.00","SG","HOU","CHA","0","5,900","0.00","-29.50"
"Christian Wood","0.00","PF","HOU","CHA","0","8,500","0.00","-42.50"
"Brodric Thomas","0.00","SG","HOU","CHA","0","3,500","0.00","-17.50"
"Anthony Davis","0.00","PF","LAL","OKC","0","9,800","0.00","-49.00"
"Quinn Cook","0.00","PG","LAL","OKC","0","3,500","0.00","-17.50"
"Alfonzo McKinnie","0.00","SF","LAL","OKC","0","3,500","0.00","-17.50"
"Alfonzo McKinnie","0.00","SF","LAL","OKC","0","3,500","0.00","-17.50"
"Devontae Cacok","0.00","PF","LAL","OKC","0","3,500","0.00","-17.50"
"Jaren Jackson Jr.","0.00","PF","MEM","TOR","0","3,500","0.00","-17.50"
"De'Anthony Melton","0.00","PG","MEM","TOR","0","4,400","0.00","-22.00"
"Brandon Clarke","0.00","PF","MEM","TOR","0","6,300","0.00","-31.50"
"Justise Winslow","0.00","SF","MEM","TOR","0","4,400","0.00","-22.00"
"D.J. Wilson","0.00","PF","MIL","DEN","0","3,500","0.00","-17.50"
"Thanasis Antetokounmpo","0.00","SF","MIL","DEN","0","3,500","0.00","-17.50"
"Jordan Nwora","0.00","PF","MIL","DEN","0","3,500","0.00","-17.50"
"Jaylen Adams","0.00","PG","MIL","DEN","0","3,500","0.00","-17.50"
"Sam Merrill","0.00","PG","MIL","DEN","0","3,500","0.00","-17.50"
"Jordan McLaughlin","0.00","PG","MIN","DAL","0","3,600","0.00","-18.00"
"Jarrett Culver","0.00","SF","MIN","DAL","0","4,000","0.00","-20.00"
"Jaylen Nowell","0.00","PG","MIN","DAL","0","3,600","0.00","-18.00"
"Karl-Anthony Towns","0.00","C","MIN","DAL","0","10,500","0.00","-52.50"
"George Hill","0.00","PG","OKC","LAL","0","4,300","0.00","-21.50"
"Trevor Ariza","0.00","SF","OKC","LAL","0","4,200","0.00","-21.00"
"Mike Muscala","0.00","PF","OKC","LAL","0","4,400","0.00","-22.00"
"Isaiah Roby","0.00","PF","OKC","LAL","0","5,000","0.00","-25.00"
"Theo Maledon","0.00","PG","OKC","LAL","0","5,400","0.00","-27.00"
"Aleksej Pokusevski","0.00","PF","OKC","LAL","0","3,500","0.00","-17.50"
"Moses Brown","0.00","C","OKC","LAL","0","3,500","0.00","-17.50"
"Jae Crowder","0.00","PF","PHX","CLE","0","4,200","0.00","-21.00"
"Cameron Payne","0.00","PG","PHX","CLE","0","3,700","0.00","-18.50"
"Dario Saric","0.00","PF","PHX","CLE","0","4,100","0.00","-20.50"
"Abdel Nader","0.00","SF","PHX","CLE","0","3,500","0.00","-17.50"
"Jalen Smith","0.00","PF","PHX","CLE","0","3,500","0.00","-17.50"
"LaMarcus Aldridge","0.00","PF","SAS","GS","0","5,600","0.00","-28.00"
"Tre Jones","0.00","PG","SAS","GS","0","3,500","0.00","-17.50"
"Lonnie Walker IV","0.00","SG","SAS","GS","0","3,500","0.00","-17.50"
"Luka Samanic","0.00","PF","SAS","GS","0","3,500","0.00","-17.50"
"Quinndary Weatherspoon","0.00","SG","SAS","GS","0","3,500","0.00","-17.50"
"OG Anunoby","0.00","SF","TOR","MEM","0","6,200","0.00","-31.00"
"Matt Thomas","0.00","SG","TOR","MEM","0","3,500","0.00","-17.50"
"Malachi Flynn","0.00","PG","TOR","MEM","0","3,500","0.00","-17.50"
"Paul Watson","0.00","SG","TOR","MEM","0","3,500","0.00","-17.50"
"Russell Westbrook","0.00","PG","WAS","CHI","0","9,700","0.00","-48.50"
"Isaac Bonga","0.00","PF","WAS","CHI","0","3,700","0.00","-18.50"
"Jerome Robinson","0.00","PG","WAS","CHI","0","3,600","0.00","-18.00"
"Cassius Winston","0.00","PG","WAS","CHI","0","3,500","0.00","-17.50"
